News,Source / Said By,stated_on,Via,Writter,Published on,Classification
"""In 2006, I went out and authored a letter with 24 other senators asking for major reform of Freddie and Fannie, warning of a meltdown and a bubble in the housing market.""",Rick Santorum,"January 26, 2012",a Republican presidential debate,Becky Bowers,"January 27, 2012",FALSE
"""This president went before the United Nations and castigated Israel for building settlements. He said nothing about thousands of rockets being rained in on Israel from the Gaza Strip.""",Mitt Romney,"January 26, 2012",a debate,Amy Sherman,"January 27, 2012",FALSE
"""I've never voted for a Democrat when there was a Republican on the ballot.""",Mitt Romney,"January 26, 2012",a Republican presidential debate,Louis Jacobson,"January 27, 2012",half-true
"""Eric Holder is supportive of the NAACP's efforts to get the United Nations involved in our elections.""",True The Vote,"December 12, 2011",a Web post.:,W. Gardner Selby,"January 27, 2012",pants-fire
"""Romneycare … is a top-down, government-run health care system.""",Rick Santorum,"January 26, 2012",a Republican presidential primary debate:,Molly Moorhead,"January 27, 2012",FALSE
"""We balanced the budget with the 1997 Balanced Budget Act, and ultimately had four consecutive balanced budgets.""",Newt Gingrich,"January 26, 2012",a Republican presidential debate,Louis Jacobson,"January 27, 2012",TRUE
"""The U.S. gun homicide rate is 20 times the combined rate of other western nations.""",Jim Moran,"January 10, 2012",a newspaper column.:,Nancy Madsen,"January 27, 2012",TRUE
"""Our jobless rate, our unemployment rate, is the lowest of all of the big cities in New Jersey.""",Chris  Bollwage,"January 15, 2012",a speech at the Cuban Club,Erin O'Neill,"January 27, 2012",FALSE
"""We have cut crime across every single zone in the city of Atlanta by between 10 percent and 16 percent, depending on the zone.""",Kasim Reed,"January 19, 2012",the State of the City address:,Willoughby Mariano,"January 27, 2012",half-true
Says Ohio has 77 job training programs spread across 13 state agencies.,John Kasich,"January 10, 2012",an,Reginald Fields,"January 27, 2012",TRUE
"""Romneycare sent costs spiraling out of control"" in Massachusetts, ""hiking premiums, squeezing household budgets.""",Winning Our Future,"January 24, 2012",a televisi,Angie Drobnic Holan,"January 26, 2012",FALSE
Republican-leaning states get more in federal dollars than they pay in taxes.,Bloggers,"January 26, 2012",a graphic circulat,Louis Jacobson,"January 26, 2012",TRUE
"Nevada is No. 1 in unemployment, violent crime, car theft, divorce, robberies and foreclosures.",No Casinos,"January 19, 2012",a televisi,Amy Sherman,"January 26, 2012",TRUE
Says Steve Jobs was responsible for creating more jobs than the stimulus bill.,Mitch Daniels,"January 24, 2012",a Republican resp,Louis Jacobson,"January 26, 2012",FALSE
"""Before this day is out, 18 more veterans will have taken their own lives.  That is the daily average, it is intolerable, and it has to stop.""",Rush Holt,"December 14, 2011",a press release:,Caryn Shinske,"January 26, 2012",TRUE
"Gov. McDonnell's proposed budget ""is cutting"" public education.",Donald McEachin,"January 11, 2012",a speech.:,Nancy Madsen,"January 26, 2012",FALSE
"""For the first time in 13 years, our dependence on foreign oil is below 50 percent.""",Barack Obama,"January 18, 2012",a campaign commercial:,Stephen Koff,"January 26, 2012",half-true
The InterLink at T.F. Green Airport is the closest air-rail link in the country.,Lincoln Chafee,"January 11, 2012",a news c,Alex Kuffner,"January 26, 2012",FALSE
"Says Mitt Romney ""was one of the first national Republican leaders to endorse"" Marco Rubio.",Marco Rubio,"January 24, 2012",a prepared statement:,Angie Drobnic Holan,"January 25, 2012",half-true
"Says Newt Gingrich said ""Spanish is the language of the ghetto.""",Mitt Romney,"January 25, 2012",a Spanish-language radio ad:,Aaron Sharockman,"January 25, 2012",TRUE
"The United States is no longer ""top nation in the globe on infrastructure,"" having fallen to 15th.",Steve Cohen,"November 3, 2011",a speech,Tom Humphrey,"January 25, 2012",TRUE
"""Nearly half of all persons under 30 did not go to work today.""",Mitch Daniels,"January 24, 2012",a Republican resp,Louis Jacobson,"January 25, 2012",pants-fire
"""(Newt Gingrich) voted in favor of establishing the Department of Education, and yet he gets in a debate and says we should get rid of the Department of Education and send all the education issues back to the states.""",Mitt Romney,"January 23, 2012",comments to reporters,Becky Bowers,"January 25, 2012",half-true
"""In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.""",Barack Obama,"January 24, 2012",the State of the Uni,Louis Jacobson,"January 25, 2012",TRUE
"Says Wisconsin Democrats during the previous administration adopted ""double-digit tax increases.""",Scott Walker,"January 3, 2012",a TV ad:,Tom Kertscher,"January 25, 2012",TRUE
"""Right now in Georgia, nearly one in three leaving our prisons are re-convicted within three years.""",Nathan Deal,"January 10, 2012",a speech:,Eric Stirgus,"January 25, 2012",TRUE
"Sherrod Brown ""has voted with Barack Obama 95 percent of the time.""",Ohio Republican Party,"January 22, 2012",an,Stephen Koff,"January 25, 2012",TRUE
"""(After the auto bailout) General Motors is back on top as the world’s No. 1 automaker.""",Barack Obama,"January 24, 2012",the State of the Uni,Becky Bowers,"January 25, 2012",half-true
"""Right now, American oil production is the highest that it’s been in eight years.""",Barack Obama,"January 24, 2012",the State of the Uni,Louis Jacobson,"January 24, 2012",TRUE
Says he eliminated an EPA rule that treated spilled milk like it was oil.,Barack Obama,"January 24, 2012",the State of the Uni,Molly Moorhead,"January 24, 2012",TRUE
Rob Cornilles supports privatizing Medicare.,Democratic Congressional Campaign Committee,"January 10, 2012",campaign material :,Janie Har,"January 24, 2012",FALSE
"A typical married couple ""will contribute $119,000"" into Medicare but will ""receive $357,000 in Medicare benefits over their lifetimes.""",Bob Corker,"November 8, 2011",a USA Today column.:,Michael Collins,"January 24, 2012",TRUE
"""When I was fighting against cap and trade, the speaker was sitting down with Nancy Pelosi on a sofa encouraging it.""",Mitt Romney,"January 23, 2012",a debate,Katie Sanders,"January 24, 2012",half-true
"""The median income in this country has declined 10 percent in the last four years.""",Mitt Romney,"January 23, 2012",a Republican presidential debate,Louis Jacobson,"January 24, 2012",half-true
There are 86 languages spoken at Miami Dade College.,Newt Gingrich,"January 23, 2012",a debate:,Amy Sherman,"January 24, 2012",TRUE
"Florida's economy ""became a bad economy ... because of a huge spike in oil prices in the summer of 2008.""",Rick Santorum,"January 23, 2012",a Republican presidential debate,Becky Bowers,"January 24, 2012",FALSE
"""Speaker Gingrich for 20 years supported a federal individual mandate"" for health insurance.",Rick Santorum,"January 23, 2012",a Republican presidential primary debate,Louis Jacobson,"January 24, 2012",TRUE
Says Texas does not regulate the appearance of some kinds of imitation firearms sold in Texas.,"Eddie Lucio, Jr.","January 6, 2012",an,Katie Glueck,"January 24, 2012",TRUE
"""Tennessee’s grocery tax is one of the highest in the nation.""",Tennessee Democratic Party,"November 15, 2011",,Richard Locker,"January 24, 2012",TRUE
"""[N]early one in three primary care doctors are forced to limit the number of Medicare patients they see.""",Tom Price,"December 18, 2011",Op-Ed:,Willoughby Mariano,"January 24, 2012",TRUE
"""We never had an earthquake in Youngstown until John Kasich was elected Governor,""",Robert Hagan,"January 10, 2012",a news release:,Aaron Marshall,"January 24, 2012",half-true
"Says Newt Gingrich’s contract was with ""the lobbyists at Freddie Mac.""",Mitt Romney,"January 24, 2012",a Republican debate,Angie Drobnic Holan,"January 24, 2012",TRUE
"""We have 25 million Americans out of work.""",Mitt Romney,"January 23, 2012",a Republican presidential debate,Louis Jacobson,"January 23, 2012",half-true
"Newt Gingrich says electric co-ops and credit unions are ""government-sponsored enterprises"" like Freddie Mac.",Newt Gingrich,"January 23, 2012",a Republican presidential primary debate:,Jon Greenberg,"January 23, 2012",pants-fire
"""When I was speaker, we had four consecutive balanced budgets.""",Newt Gingrich,"January 23, 2012",a Republican presidential debate,Louis Jacobson,"January 23, 2012",FALSE
"""While Romney was a director of the Damon Corporation, the company was defrauding Medicare of millions.""",AFSCME,"January 20, 2012",a televisi,Angie Drobnic Holan,"January 23, 2012",TRUE
"Rob Cornilles has been endorsed by 20 local mayors, including Independent, Democratic and Republican.",Oregon Republican Party,"January 13, 2012",a campaign mailer:,Janie Har,"January 23, 2012",FALSE
"""And by the way, when I was governor, I did make the payment into the pension fund.""",Richard Codey,"January 16, 2012",a radio,Bill Wichert,"January 23, 2012",TRUE
"""Eleven states have enacted these pay-to-play reforms.""",William Perry,"January 4, 2012",an,Eric Stirgus,"January 23, 2012",TRUE
Says the D.C. city council passed a law banning lethal rat trapping.,Ken Cuccinelli,"January 13, 2012",an,Sean Gorman,"January 23, 2012",pants-fire
"""More than one in five of veterans aged 20 to 24 can’t find a job to support their family or to ease the transition to civilian life.""",Sherrod Brown,"January 18, 2012",a news release:,Tom Feran,"January 23, 2012",TRUE
"""Martin Luther King Jr. was a Republican.""",Charlotte Bergmann,"January 10, 2012",a campaign billboard al,Bartholomew Sullivan,"January 23, 2012",FALSE
"Says that according to a study, under Obama’s health care initiative, ""nearly 90 percent of people"" in Wisconsin with health insurance ""will have their costs go up by more than 30 percent.""",Frank Lasee,"January 9, 2012",an op,Tom Kertscher,"January 22, 2012",FALSE
"""Under this tax cut, middle-class families don't save enough for a week's worth of groceries, while millionaires save enough to go on an exotic vacation.""",Lou Greenwald,"January 17, 2012",a press release:,Erin O'Neill,"January 22, 2012",TRUE
"Says most states, but not Texas, permit jurors to ask questions of witnesses in trials.",Efrain De La Fuente,"November 29, 2011",a forum.:,W. Gardner Selby,"January 22, 2012",half-true
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",National Republican Congressional Committee,"January 22, 2012",a news release:,Alex Kuffner,"January 22, 2012",pants-fire
"Says 282 Texas school districts have requested emergency waivers to increase elementary school class sizes because of ""unprecedented fiscal challenges.""",Silvestre Reyes,"January 9, 2012",a press release:,Meghan Ashford-Grooms,"January 21, 2012",half-true
Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,Rob Cornilles,"January 17, 2012",a radio show:,Janie Har,"January 21, 2012",half-true
"""I didn't inherit money from my parents.""",Mitt Romney,"January 19, 2012",a Republican presidential debate,Becky Bowers,"January 20, 2012",half-true
"Rick Santorum says Rick Perry requested 1,200 earmarks as governor of Texas.",Rick Santorum,"January 11, 2012",comment to reporters.:,Katie Glueck,"January 20, 2012",pants-fire
"President Obama has ""said he is going to cut veterans' benefits.""",Rick Santorum,"January 19, 2012",a Republican presidential primary debate:,Molly Moorhead,"January 20, 2012",half-true
"Says Barack Obama ""began his presidency going on a worldwide apology tour.""",Ted Cruz,"January 12, 2012",a U.S. Senate debate hosted by Empower Texans and the Texas Public Policy Foundati,W. Gardner Selby,"January 20, 2012",pants-fire
"Says Mitt Romney ""put Planned Parenthood on a state medical board but failed to put a pro-life group on the same board.""",Newt Gingrich,"January 10, 2012",a video campaign ad:,Molly Moorhead,"January 20, 2012",half-true
"""Many types of fish and shellfish from waters across the state are labeled unsafe to eat.""",James Florio,"December 14, 2011",a guest column,Caryn Shinske,"January 20, 2012",TRUE
